label,pt_0_x,pt_0_y,pt_1_x,pt_1_y,pt_2_x,pt_2_y,pt_3_x,pt_3_y,pt_4_x,pt_4_y,pt_5_x,pt_5_y,pt_6_x,pt_6_y,pt_7_x,pt_7_y,pt_8_x,pt_8_y,pt_9_x,pt_9_y,pt_10_x,pt_10_y,pt_11_x,pt_11_y,pt_12_x,pt_12_y,pt_13_x,pt_13_y,pt_14_x,pt_14_y,pt_15_x,pt_15_y,pt_16_x,pt_16_y
0,333.0602722167969,291.9681396484375,364.56146240234375,266.1595764160156,303.1963195800781,262.656494140625,406.3809814453125,299.24200439453125,259.52447509765625,293.73004150390625,475.0374755859375,458.88494873046875,182.40350341796875,444.40313720703125,519.0293579101562,480.0,151.06565856933594,480.0,436.6239929199219,472.6605529785156,198.2069854736328,461.18060302734375,398.1295471191406,480.0,221.31658935546875,480.0,416.8123779296875,464.02593994140625,253.8032684326172,453.4285583496094,368.6365966796875,463.24151611328125,350.9078674316406,462.08270263671875
0,333.05230712890625,292.2991943359375,364.460693359375,266.15655517578125,302.9418029785156,262.6917419433594,406.10955810546875,299.5212097167969,259.0639953613281,294.2451171875,475.6913146972656,459.9033203125,181.7520294189453,445.39398193359375,518.0606689453125,480.0,151.06887817382812,480.0,432.6289367675781,471.3634338378906,199.73324584960938,460.7091064453125,399.9000549316406,480.0,222.3883056640625,480.0,416.961669921875,460.03619384765625,253.02435302734375,449.3210144042969,367.89544677734375,461.9407043457031,350.38922119140625,460.96917724609375
0,333.9048156738281,292.2519836425781,364.7669372558594,266.51776123046875,304.30865478515625,263.24114990234375,406.05029296875,298.8591003417969,260.80389404296875,293.80810546875,474.84228515625,458.5091857910156,183.1514129638672,444.78692626953125,517.8212890625,480.0,152.97508239746094,480.0,435.7322082519531,472.884033203125,207.53860473632812,461.7989807128906,398.9908447265625,480.0,222.49249267578125,480.0,418.18011474609375,464.684814453125,255.26657104492188,455.2437438964844,370.12481689453125,461.2509765625,352.0654296875,461.37615966796875
0,333.4709777832031,292.53521728515625,364.6897888183594,266.4742736816406,303.9093017578125,263.3985290527344,406.6441345214844,299.0872497558594,260.912109375,294.267333984375,475.38037109375,458.957275390625,183.53477478027344,444.5205383300781,517.5472412109375,480.0,151.6683349609375,480.0,435.21710205078125,472.46832275390625,201.97052001953125,461.6957702636719,398.326904296875,480.0,221.9843292236328,480.0,417.1043701171875,461.01068115234375,254.37197875976562,451.0175476074219,369.58856201171875,459.458740234375,351.516845703125,460.0244445800781
0,333.9572448730469,292.3482666015625,365.3959655761719,266.8236999511719,304.3463134765625,262.880615234375,406.9185791015625,300.7220458984375,260.5833740234375,294.3269348144531,476.1591796875,460.2894287109375,182.17115783691406,445.14013671875,518.3267211914062,480.0,150.7392120361328,480.0,433.8261413574219,470.69805908203125,200.13832092285156,460.4093322753906,399.789306640625,480.0,222.10684204101562,480.0,417.2033996582031,457.72711181640625,253.1041259765625,446.79083251953125,369.05804443359375,460.439208984375,351.53369140625,458.5257263183594
0,333.3987731933594,292.8222351074219,365.27239990234375,266.7549743652344,303.6893005371094,262.83880615234375,407.2496032714844,300.0620422363281,259.9171142578125,293.5404968261719,476.0137939453125,459.9794006347656,181.9325714111328,444.7994689941406,518.1904907226562,480.0,149.50108337402344,480.0,434.4904479980469,470.26800537109375,195.948486328125,459.4486999511719,400.00640869140625,480.0,222.36370849609375,480.0,416.86993408203125,459.07293701171875,252.84686279296875,448.0403137207031,368.70703125,462.1884765625,351.0879821777344,460.1338806152344
0,334.16876220703125,292.9466857910156,365.530029296875,266.7811584472656,304.2370300292969,263.5895080566406,407.36175537109375,299.6004638671875,260.67242431640625,294.71331787109375,475.87615966796875,459.22930908203125,183.64932250976562,444.6921691894531,518.1198120117188,480.0,153.02732849121094,480.0,436.25177001953125,471.524169921875,202.01512145996094,461.1221618652344,398.8484191894531,480.0,222.34552001953125,480.0,417.7132568359375,458.84466552734375,254.60821533203125,448.71337890625,369.6265869140625,458.7964782714844,351.9112243652344,459.28851318359375
0,334.111328125,292.6909484863281,365.4772644042969,266.5841979980469,304.2947998046875,263.0755310058594,406.9904479980469,299.18084716796875,260.5419921875,293.57513427734375,475.53662109375,459.0619812011719,182.65589904785156,443.7525939941406,517.8561401367188,480.0,152.11732482910156,480.0,436.12152099609375,471.76397705078125,203.55569458007812,461.42205810546875,398.5712585449219,480.0,221.59078979492188,480.0,417.4911193847656,458.9529113769531,253.713623046875,448.3696594238281,368.7705993652344,459.36614990234375,351.04852294921875,459.1117248535156
0,334.1430969238281,292.3545227050781,365.4398193359375,266.53082275390625,304.263671875,263.0777282714844,407.1405944824219,300.01123046875,260.6495666503906,294.6943664550781,475.9994201660156,459.3846740722656,184.02432250976562,444.6374206542969,517.9240112304688,480.0,153.73175048828125,480.0,435.0760192871094,471.7137145996094,201.6746826171875,461.7499694824219,399.9031982421875,480.0,223.48348999023438,480.0,417.2882080078125,456.8985900878906,254.10052490234375,446.33367919921875,369.4343566894531,458.2828063964844,351.872314453125,457.90313720703125
0,333.992919921875,292.3979797363281,365.34368896484375,267.1352233886719,304.5912780761719,263.0137939453125,406.52978515625,300.3206481933594,260.7818603515625,293.4933166503906,475.5791015625,458.7959289550781,182.8543701171875,444.0689697265625,519.0487060546875,480.0,153.3310089111328,480.0,436.1252136230469,471.18505859375,202.7249755859375,460.01776123046875,400.29119873046875,480.0,223.16619873046875,480.0,417.93658447265625,459.7137451171875,254.0576934814453,448.87884521484375,368.6365966796875,459.37255859375,351.5119323730469,456.55224609375
